,Climate_region,Income_binary,Country_Name,Country_Code,Region,Income_group,Population,Land_area,Forest_area,Precipitation,Population_density,Capital_lat,GNP_per_Cap,Population_growth,Cereal_yield,Female_life_expectancy,Under_5_mortality,Renewables,CO2,PM25,Women_in_parliament,GINI_index,Govt_spend_education,Secondary_school_enrolment,School_gender_parity
177,Temperate or Polar,Low,Uzbekistan,UZB,Europe & Central Asia,Lower middle income,30757700,425400,7.59525157,206,72.30300893,41,2530,1.68690036,4823.6,72.973,27.8,2.89678351,3.420722746,28.9000361,22,NA,7.31866,92.01116,0.98717
178,Tropical,High,St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,108861,390,69.2307692,1583,279.1307692,13,6390,0.21978738,24485.7,74.609,18.5,5.8009473,1.920054014,23.03093206,13,NA,NA,106.3008,0.99271
179,Tropical,High,"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,30045134,882050,53.1119533,2044,34.06284678,8,13080,0.8743785,4040.7,76.709,17.3,12.3158343,6.164731034,19.10406153,17,NA,NA,92.7581,1.0215
180,Tropical,Low,Vietnam,VNM,East Asia & Pacific,Lower middle income,91714595,310070,47.2280453,1821,295.7867417,16,1880,1.05347955,5577.8,79.159,22.1,37.0354726,1.819893977,34.89601505,24.3,34.8,NA,NA,NA
181,Tropical,Low,Vanuatu,VUT,East Asia & Pacific,Lower middle income,263888,12190,36.09516,NA,21.64790812,-18,3120,2.78699288,618,71.373,29.1,32.1428307,0.583633966,11.93385168,0,NA,4.91083,NA,NA
182,Tropical,High,Samoa,WSM,East Asia & Pacific,Upper middle income,192221,2830,60.4240283,NA,67.92261484,-14,3820,0.78550979,NA,74.762,17.6,42.3350774,1.030157995,12.64355999,6.1,NA,NA,93.86634,1.05727
183,Tropical,Low,"Yemen, Rep.",YEM,Middle East & North Africa,Low income,25823485,527970,1.03983181,167,48.91089456,15,1460,2.65414096,962.7,67.77,55,0.97420097,0.878995612,48.33865267,0.3,36.7,NA,NA,NA
184,Tropical,High,South Africa,ZAF,Sub-Saharan Africa,Upper middle income,54545991,1213090,7.61773652,495,44.96450469,-29,6760,1.58316829,4896.2,65.359,39.5,16.5881622,8.979062348,26.72221238,41.5,63,6.04662,107.8041,1.01611
185,Tropical,Low,Zambia,ZMB,Sub-Saharan Africa,Lower middle income,15399753,743390,65.6473743,1020,20.71557729,-15,1800,3.12130456,2755.2,63.248,66.9,88.0340373,0.292412222,28.49325189,10.8,NA,NA,NA,NA
186,Tropical,Low,Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,13586681,386850,37.1575556,657,35.12131576,-20,1260,1.75469235,836,59.892,57.5,81.0492915,0.884721294,22.80594966,31.5,NA,6.13835,NA,NA
