treatment,individual,EL,EW,FPW,GW,HL,ML,MPW,MW,PL,PC1,PC2
ILPD,9,1277.48,1330.48,1206.01,1284.89,179.23,417.25,1453.41,273.93,1032.17,-1.042030803,0.500715271
ILPD,10,1226.71,1349.22,1189.9,1280.34,188.07,452.12,1461.66,249.08,1061.68,-1.104642459,0.623800758
ILPD,11,1131.41,1235.32,1117.1,1143.22,137.1,374.28,1326.23,236.36,936.62,-4.596778522,1.156342569
ILPD,12,1183.03,1296.22,1108.27,1165.58,194.59,418.35,1371.28,237.75,957.47,-3.0432961,1.489646928
ILPD,13,1276.08,1382.11,1231.13,1359.12,195.04,534.94,1511.74,248.5,1071.25,0.163316503,0.369310225
ILPD,14,1271.66,1362.13,1190.32,1359.92,161.66,559.8,1484.12,267.73,1073.28,-0.370690533,0.382350072
ILPD,15,1284.74,1340.08,1186.73,1320.87,179.17,519.46,1483.79,272.06,1066.83,-0.42538357,0.621642806
ILPD,16,1360.71,1448.75,1300.31,1437.36,210.17,556.01,1585.5,289.1,1141.22,2.414025678,-0.090325388
ILPD,17,1274.79,1356.81,1167.09,1291.85,185.86,460.22,1466.13,260.16,1057.44,-0.828484151,0.454913414
ILPD,18,1200.81,1282.76,1159.54,1203.9,174.74,365.93,1412.04,248.02,993.05,-2.698539001,0.888962877
ILPD,19,1267.2,1391.45,1222.89,1397.85,203.45,451.12,1517.15,275.13,1106,0.428122569,0.542249996
ILPD,20,1254.54,1372.92,1211.49,1326.8,212.57,433.14,1486.13,267.13,1055.29,-0.268793535,0.840238082
ILPD,21,1333.74,1406.86,1288.33,1445.68,206.23,554.51,1586.11,285.52,1141.7,2.003845463,0.227757929
ILPD,22,1281.92,1413.9,1285.29,1401.7,201.53,546.95,1530.89,244.9,1097.28,0.915653422,0.105137929
ILPD,23,1292.13,1369.48,1207.44,1338.4,175.04,552.41,1503.78,279.01,1083.57,0.102568059,0.426836363
ILPD,24,1369.17,1439.66,1258.25,1435.1,234.4,500.4,1566.39,297.13,1152.06,2.383764328,0.32301473
ILPE,1,1310.14,1438.04,1307.39,1457.46,207.87,577.82,1594.41,300.58,1139.16,2.326578505,0.430142118
ILPE,2,1239.09,1399.53,1234.59,1353.81,221.13,472.16,1515.35,285.79,1060.75,0.383004896,1.168113129
ILPE,3,1316.51,1450.91,1295.82,1448.38,214.59,570.66,1596.54,279.15,1141.02,2.271365293,0.171310065
ILPE,4,1289.48,1435.13,1278.15,1417.45,216.71,539.15,1547.98,290.72,1127.77,1.700811739,0.619211628
ILPE,5,1401.98,1463.93,1327.11,1483.78,201.33,527.95,1623.06,308.38,1167.67,3.113123164,-0.563087622
ILPE,6,1342.82,1466.87,1296.88,1457.76,227.8,523.36,1605.42,292.85,1115.26,2.521488071,0.197824509
