Diet,Pronotum,Mass0,Delta_smi,Song_week1
12,2.360576923,0.24033,NA,0
12,2.230769231,0.19914,NA,0
24,2.125,0.23774,-0.026301248,394
24,2.377884615,0.19033,0.01059896,678
24,2.468269231,0.19495,0.00849381,1256
24,NA,0.20139,NA,895
24,2.452884615,0.24612,-0.023441375,609
24,2.447115385,0.19836,0.002669043,93
24,2.408653846,0.2093,0.003368889,7474
24,2.456730769,0.19771,0.016219524,64
24,2.548076923,0.25076,0.009597637,1044
24,2.211538462,0.17429,0.009390519,686
24,NA,0.25913,NA,1665
24,2.371153846,0.19195,-0.008040573,0
24,2.365384615,0.18929,0.012745379,294
24,2.174038462,0.14171,0.017459013,413
24,2.235576923,0.17752,-0.014963849,0
24,2.154807692,0.14038,0.018767051,55
36,2.324038462,0.18924,0.010249197,790
36,2.346153846,0.21418,-0.000106266,4480
36,2.539423077,0.21257,0.017502071,595
36,2.432692308,0.23169,0.026395075,6071
36,2.5625,0.22513,0.014133911,2187
36,2.511538462,0.20754,0.027159781,2175
36,2.463461538,0.21117,0.035480843,2505
36,2.302884615,0.18817,0.017591991,872
36,2.492307692,0.19427,0.022840152,682
36,2.390384615,0.24002,-0.023308889,886
36,2.504807692,0.23625,-0.001805095,1674
36,2.213461538,0.20996,0.0028043,6114
36,2.0625,0.14941,0.006165588,151
36,2.480769231,0.25492,-0.009228662,61
36,2.539423077,0.26534,-0.031773537,273
36,2.639423077,0.26288,0.020721393,88
48,2.288461538,0.17402,0.026029887,1017
48,2.441346154,0.24692,-0.019479884,11588
48,2.617307692,0.24867,0.030687436,21241
48,2.451923077,0.22521,0.003526195,8105
48,2.471153846,0.2054,0.015890879,1897
48,2.461538462,0.2306,-0.035573776,187
48,2.375,0.17941,0.043450325,9120
48,2.275,0.16804,0.011748335,188
48,2.572115385,0.20087,0.041135489,695
48,2.303846154,0.17634,-0.001751862,11
48,2.322115385,0.18849,0.023343479,0
48,2.457692308,0.24588,-0.010239871,2518
48,2.567307692,0.21872,0.027880665,13837
48,2.496153846,0.23912,0.049394222,15507
48,2.328846154,0.19737,0.018502932,3077
48,2.278846154,0.16818,0.024773176,1174
60,2.504807692,0.23912,0.019833199,489
60,2.418269231,0.25106,-0.010064243,4675
60,2.177884615,0.14442,0.022280097,1714
60,2.235576923,0.17782,0.036773681,11081
60,2.386538462,0.18668,0.02281927,4050
60,2.333653846,0.19744,0.055402763,15853
60,2.375961538,0.23826,0.010906287,6385
60,2.326923077,0.19406,0.01676119,752
60,2.284615385,0.17909,0.020638663,262
60,2.505769231,0.20988,0.036869336,6621
60,2.093269231,0.13316,0.019241169,2839
60,2.520192308,0.21252,0.038378983,27532
60,2.472115385,0.20105,0.040606353,3098
60,2.360576923,0.1819,0.029391532,8555
60,2.125,0.14627,0.004144939,141
60,NA,0.22012,NA,18
72,2.371153846,0.21275,0.041284869,6392
72,2.620192308,0.25636,0.034685089,12103
72,2.361538462,0.16347,0.053647677,19411
72,NA,0.21375,NA,2938
72,2.313461538,0.17705,0.024789298,2097
72,2.260576923,0.1832,0.028079109,7086
72,2.221153846,0.18468,0.033146184,14708
72,2.3125,0.16486,0.034016402,4980
72,2.264423077,0.19586,0.015843071,13906
72,2.434615385,0.23334,0.001869459,20376
72,2.390384615,0.20813,0.057451344,4655
72,2.519230769,0.22372,0.05231227,16301
72,2.447115385,0.25052,0.026281464,17272
72,NA,0.24697,NA,6424
72,2.514423077,0.24043,-0.013210327,735
