name,sex,mass,bodylength,taillength,taildiameter,headwidth,headlength,meanforearm,meanhindlimb,meanfootlength,bodysize_PC1,acceleration,sprint,jump,grasp,bite,motorcontrol,maneuverability,Max_O2_consump,Performance_PC1,Performance_PC2,Performance_PC3
41,f,287,180,242,11.54,34.88,63.66666667,48.02666667,62.03,36.29666667,-0.856670009,0.366936443,0.383135156,1.744590964,-1.726091792,-0.464775783,-1.083355348,-0.752800311,-0.444231955,-1.32371983,0.75194575,1.68901687
42,f,304,177,246,14.59333333,35.50666667,64.4,49.485,63.45166667,36.13666667,-0.041919862,-0.028624861,0.953799919,0.483587254,-1.234864044,-0.300523812,0.626930266,0.568754548,-0.123322609,-0.8379626,1.06430137,-0.336021618
43,f,461,174.3333333,222,15.56333333,37.2,68.28,49.17,62.60833333,38.55666667,0.676131216,0.583372056,-0.191804247,-1.559394116,-0.19782769,1.20321374,-0.973673988,-0.267556738,0.051881114,1.29511757,-1.08239103,0.634491826
44,f,248,149.3333333,221,11.90333333,31.92,59.22333333,45.64833333,56.42333333,36.49,-3.169865195,2.072446304,0.297197712,0.474524599,-1.016540601,-0.898638719,0.525304599,-0.414086621,0.195286371,-0.79518872,1.48572392,1.0019217
45,f,318,169.6666667,221.6666667,14.34,33.99333333,64.67333333,48.48,58.23,36.76333333,-1.100915129,-0.573304714,0.346776752,-0.565091396,-0.852798019,-1.121873717,0.953584195,0.754644272,-1.078191289,-1.65514207,0.16366538,-0.837312942
46,f,279,154.3333333,215.6666667,12.55333333,33.10666667,60.89,47.28,59.225,37.41166667,-2.148705083,-0.864740882,-0.966931294,1.143866404,-0.598087335,-0.541318642,-0.180097089,-1.583230241,-0.288806488,-1.48716102,-0.88645106,0.869695787
47,f,381,175.6666667,198.3333333,15.19666667,35.13,65.35666667,44.96166667,56.795,36.675,-1.342203911,1.207188397,-1.595870896,1.309583524,-0.657464923,-0.714991649,0.525304599,-0.736541261,-0.743168626,-1.73391031,0.43218583,0.57430807
48,f,368,181,209.6666667,14.66666667,34.90666667,64.15,48.23666667,59.96,36.56166667,-0.756825054,-1.366469332,-0.648752084,-0.114547976,-0.386865482,-0.312449536,-0.474014459,0.236969904,-0.782814644,-0.86849989,-1.13190351,-0.366123894
49,f,335,179.6666667,214.6666667,12.69666667,36.08333333,63.70333333,48.4,59.61333333,38.22333333,-0.690890984,-0.816978646,-0.42345854,-1.916721656,1.353472229,-0.773848777,0.064080418,0.588565429,0.385835565,0.75407135,-1.39432017,-0.942442912
50,m,409,169,220.6666667,15.78333333,37.17333333,65.49333333,52.59,61.97333333,38.68,0.614299115,-1.098447043,-2.255077331,-0.539198096,-0.403440126,-0.185746475,0.150559952,0.770700928,-0.188634254,-0.77772566,-1.73865704,-1.52436349
51,m,337,178.3333333,211.3333333,13.8,35.60333333,68.44333333,50.645,60.97666667,37.98833333,0.147065598,-0.158863482,1.22097471,-0.862864346,0.508165341,-0.820043415,-1.238199621,-0.657004063,-1.379850284,-0.20113191,-0.35876518,1.646529006
