"","species","class","order","maximum_lifespan_yr","mass_g","volancy","fossoriallity","foraging_environment","daily_activity"
"384","Saguinus_midas","Mammalia","Primates",21,553.8,"nonvolant","nonfossorial","arboreal","diurnal"
"385","Saguinus_oedipus","Mammalia","Primates",26.2,445.5,"nonvolant","nonfossorial","arboreal","diurnal"
"386","Saimiri_boliviensis","Mammalia","Primates",30.3,615,"nonvolant","nonfossorial","semiarboreal","diurnal"
"387","Saimiri_sciureus","Mammalia","Primates",30.2,925,"nonvolant","nonfossorial","semiarboreal","diurnal"
"389","Sciurus_vulgaris","Mammalia","Rodentia",14.8,600,"nonvolant","nonfossorial","semiarboreal","diurnal"
"390","Sekeetamys_calurus","Mammalia","Rodentia",7.3,65,"nonvolant","nonfossorial","terrestrial","nocturnal"
"391","Semnopithecus_entellus","Mammalia","Primates",29,13516.5,"nonvolant","nonfossorial","semiarboreal","diurnal"
"393","Sigmodon_hispidus","Mammalia","Rodentia",5.2,185,"nonvolant","semifossorial","terrestrial","cathemeral"
"394","Speothos_venaticus","Mammalia","Carnivora",14.1,6000,"nonvolant","semifossorial","aquatic","diurnal"
"395","Spermophilus_citellus","Mammalia","Rodentia",6.7,217,"nonvolant","semifossorial","terrestrial","diurnal"
"396","Suricata_suricatta","Mammalia","Carnivora",20.6,776,"nonvolant","semifossorial","terrestrial","diurnal"
"397","Sus_barbatus","Mammalia","Artiodactyla",16.2,102750,"nonvolant","semifossorial","terrestrial","nocturnal"
"398","Sus_scrofa","Mammalia","Artiodactyla",27,130000,"nonvolant","semifossorial","terrestrial","nocturnal"
"399","Sylvicapra_grimmia","Mammalia","Artiodactyla",15.4,18500,"nonvolant","nonfossorial","terrestrial","nocturnal"
"400","Syncerus_caffer","Mammalia","Artiodactyla",29.8,700000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"402","Tadarida_teniotis","Mammalia","Chiroptera",13,35,"volant","nonfossorial","volant","nocturnal"
"404","Tamias_sibiricus","Mammalia","Rodentia",9.6,85,"nonvolant","semifossorial","terrestrial","diurnal"
"407","Taurotragus_derbianus","Mammalia","Artiodactyla",20.3,680000,"nonvolant","nonfossorial","terrestrial","crepuscular"
"408","Taurotragus_oryx","Mammalia","Artiodactyla",26.1,500000,"nonvolant","nonfossorial","terrestrial","crepuscular"
"409","Tayassu_pecari","Mammalia","Artiodactyla",28.5,22000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"410","Theropithecus_gelada","Mammalia","Primates",36,16200,"nonvolant","nonfossorial","terrestrial","diurnal"
"411","Tragelaphus_angasii","Mammalia","Artiodactyla",18.5,120000,"nonvolant","nonfossorial","terrestrial","crepuscular"
"412","Tragelaphus_eurycerus","Mammalia","Artiodactyla",21.9,307500,"nonvolant","nonfossorial","terrestrial","crepuscular"
"413","Tragelaphus_imberbis","Mammalia","Artiodactyla",19.8,82500,"nonvolant","nonfossorial","terrestrial","nocturnal"
"414","Tragelaphus_scriptus","Mammalia","Artiodactyla",15.3,60000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"415","Tragelaphus_spekii","Mammalia","Artiodactyla",22.6,87500,"nonvolant","nonfossorial","terrestrial","cathemeral"
"416","Tragelaphus_strepsiceros","Mammalia","Artiodactyla",23.5,217500,"nonvolant","nonfossorial","terrestrial","cathemeral"
"417","Tragulus_javanicus","Mammalia","Artiodactyla",14,2850,"nonvolant","nonfossorial","terrestrial","nocturnal"
"418","Tragulus_napu","Mammalia","Artiodactyla",16.7,6500,"nonvolant","nonfossorial","terrestrial","nocturnal"
"419","Tremarctos_ornatus","Mammalia","Carnivora",39,109250,"nonvolant","nonfossorial","semiarboreal","nocturnal"
"423","Uncia_uncia","Mammalia","Carnivora",21.2,50000,"nonvolant","nonfossorial","terrestrial","diurnal"
"424","Urocyon_cinereoargenteus","Mammalia","Carnivora",16.2,4750,"nonvolant","nonfossorial","semiarboreal","nocturnal"
"425","Ursus_americanus","Mammalia","Carnivora",34,154250,"nonvolant","nonfossorial","terrestrial","nocturnal"
"426","Ursus_arctos","Mammalia","Carnivora",40,277500,"nonvolant","nonfossorial","terrestrial","diurnal"
"427","Ursus_thibetanus","Mammalia","Carnivora",39.2,103750,"nonvolant","nonfossorial","semiarboreal","nocturnal"
"428","Varecia_variegata","Mammalia","Primates",37,3670,"nonvolant","nonfossorial","arboreal","crepuscular"
"429","Vicugna_vicugna","Mammalia","Artiodactyla",31.6,50000,"nonvolant","nonfossorial","terrestrial","diurnal"
"430","Vulpes_lagopus","Mammalia","Carnivora",16.3,5200,"nonvolant","semifossorial","terrestrial","cathemeral"
"431","Vulpes_rueppellii","Mammalia","Carnivora",14.3,3200,"nonvolant","semifossorial","terrestrial","nocturnal"
"432","Vulpes_velox","Mammalia","Carnivora",15.9,2400,"nonvolant","semifossorial","terrestrial","nocturnal"
"433","Vulpes_vulpes","Mammalia","Carnivora",21.3,4131.7,"nonvolant","semifossorial","terrestrial","nocturnal"
"434","Vulpes_zerda","Mammalia","Carnivora",16.3,1250,"nonvolant","semifossorial","terrestrial","nocturnal"
