"","Binomial","order","family","genus","species","Mean_brain_mass_g","Mean_body_mass_g","Brain.resid","T_resid"
"1457","Chaetodipus_spinatus","Rodentia","Heteromyidae","Chaetodipus","spinatus",0.48,19.1,-0.019566403,-0.07877441
"1458","Perognathus_parvus","Rodentia","Heteromyidae","Perognathus","parvus",0.49,17.3,0.021629184,-0.042182674
"1459","Chaetodipus_fallax","Rodentia","Heteromyidae","Chaetodipus","fallax",0.54,20.3,0.011738934,-0.044634973
"1460","Microdipodops_pallidus","Rodentia","Heteromyidae","Microdipodops","pallidus",0.55,12.9,0.167388968,0.08992678
"1461","Liomys_irroratus","Rodentia","Heteromyidae","Liomys","irroratus",1.06,57.7,-0.035611922,-0.043397616
"1462","Dipodomys_panamintinus","Rodentia","Heteromyidae","Dipodomys","panamintinus",1.6,74,0.06215952,0.065946401
"1463","Geomys_pinetis","Rodentia","Geomyidae","Geomys","pinetis",2.51,313.5,-0.212545436,-0.141607462
"1464","Orthogeomys_cherriei","Rodentia","Geomyidae","Orthogeomys","cherriei",3.47,405,-0.155303558,-0.072454411
"1465","Zygogeomys_trichopus","Rodentia","Geomyidae","Zygogeomys","trichopus",3.95,545,-0.195742936,-0.09908441
"1466","Cratogeomys_fumosus","Rodentia","Geomyidae","Cratogeomys","fumosus",4.19,637,-0.220933674,-0.117020013
"1467","Orthogeomys_heterodus","Rodentia","Geomyidae","Orthogeomys","heterodus",4.31,630,-0.205071231,-0.101671521
"1468","Apodemus_agrarius","Rodentia","Muridae","Apodemus","agrarius",0.2,33.3,-0.58083746,-0.614190837
"1469","Mus_musculus","Rodentia","Muridae","Mus","musculus",0.4,15.1,-0.02220463,-0.092342679
"1470","Zapus_trinotatus","Rodentia","Dipodidae","Zapus","trinotatus",0.5,27.5,-0.120563223,-0.162817683
"1471","Akodon_azarae","Rodentia","Cricetidae","Akodon","azarae",0.642,25,0.0190466,-0.027640935
"1472","Cricetulus_barabensis","Rodentia","Cricetidae","Cricetulus","barabensis",0.6699,29.89,-0.020668415,-0.059046652
"1473","Ochrotomys_nuttalli","Rodentia","Cricetidae","Ochrotomys","nuttalli",0.7,20.6,0.119664783,0.063973217
"1474","Acomys_cahirinus","Rodentia","Muridae","Acomys","cahirinus",0.7,31,-0.013457296,-0.050139553
"1475","Mastomys_natalensis","Rodentia","Muridae","Mastomys","natalensis",0.719,46.026,-0.130558785,-0.148858569
"1476","Mesocricetus_auratus","Rodentia","Cricetidae","Mesocricetus","auratus",1,120,-0.299424056,-0.273151993
"1477","Psammomys_obesus","Rodentia","Muridae","Psammomys","obesus",1.3,69.1,-0.005701651,-0.005101329
"1478","Rattus_rattus","Rodentia","Muridae","Rattus","rattus",1.4,150,-0.225979198,-0.189328263
"1479","Lemmus_sibiricus","Rodentia","Cricetidae","Lemmus","sibiricus",1.49,70,0.049326232,0.050528444
"1480","Holochilus_chacarius","Rodentia","Cricetidae","Holochilus","chacarius",1.61,204,-0.265436461,-0.21448377
"1481","Tamias_cinereicollis","Rodentia","Sciuridae","Tamias","cinereicollis",1.8,61.7,0.172522504,0.167854364
"1482","Glis_glis","Rodentia","Gliridae","Glis","glis",1.9,148,-0.088981435,-0.052954833
"1483","Octodon_degus","Rodentia","Octodontidae","Octodon","degus",2.1,210,-0.159484974,-0.107184013
"1484","Cricetus_cricetus","Rodentia","Cricetidae","Cricetus","cricetus",2.2,297,-0.252185493,-0.183762298
"1485","Thomomys_bulbivorus","Rodentia","Geomyidae","Thomomys","bulbivorus",2.2,344,-0.300037428,-0.224781165
"1486","Jaculus_orientalis","Rodentia","Dipodidae","Jaculus","orientalis",2.5,98,0.164482937,0.181335175
"1487","Mesomys_hispidus","Rodentia","Echimyidae","Mesomys","hispidus",2.64,175,-0.000713861,0.043106944
"1488","Proechimys_brevicauda","Rodentia","Echimyidae","Proechimys","brevicauda",2.95,285,-0.111352342,-0.044847443
"1489","Spalax_leucodon","Rodentia","Spalacidae","Spalax","leucodon",3,122,0.172313211,0.199354086
"1490","Makalata_didelphoides","Rodentia","Echimyidae","Makalata","didelphoides",3.45,108,0.272713473,0.294084999
"1491","Allactaga_sibirica","Rodentia","Dipodidae","Allactaga","sibirica",3.5,193,0.089860518,0.138235052
"1492","Clyomys_laticeps","Rodentia","Echimyidae","Clyomys","laticeps",3.52,201,0.079105954,0.129369563
"1493","Makalata_macrura","Rodentia","Echimyidae","Makalata","macrura",3.89,439,-0.131940796,-0.0453422
"1494","Orthogeomys_hispidus","Rodentia","Geomyidae","Orthogeomys","hispidus",3.98,542.1,-0.190719123,-0.094308753
"1495","Echimys_chrysurus","Rodentia","Echimyidae","Echimys","chrysurus",5.02,652,-0.150025172,-0.045028946
"1496","Chinchilla_lanigera","Rodentia","Chinchillidae","Chinchilla","lanigera",6.8,372,0.164560197,0.243456132
"1497","Rattus_norvegicus","Rodentia","Muridae","Rattus","norvegicus",8.03,359.5,0.247899966,0.325206133
"1498","Ratufa_indica","Rodentia","Sciuridae","Ratufa","indica",11.4,1935,-0.148152327,0.007440585
"1499","Sphiggurus_vestitus","Rodentia","Erethizontidae","Sphiggurus","vestitus",11.71,736,0.178354979,0.288987798
"1500","Trichys_fasciculata","Rodentia","Hystricidae","Trichys","fasciculata",13.05,1560,-0.019278743,0.126294465
"1501","Lagidium_viscacia","Rodentia","Chinchillidae","Lagidium","viscacia",15.08,2460.5,-0.104913357,0.061854421
"1502","Dolichotis_salinicola","Rodentia","Caviidae","Dolichotis","salinicola",15.31,1600,0.041839322,0.188590114
"1503","Coendou_prehensilis","Rodentia","Erethizontidae","Coendou","prehensilis",16.73,4400,-0.249142479,-0.055340018
"1504","Coendou_rothschildi","Rodentia","Erethizontidae","Coendou","rothschildi",20.85,2000,0.103287012,0.260416677
"1505","Dasyprocta_leporina","Rodentia","Dasyproctidae","Dasyprocta","leporina",21.26,2873,-0.006236095,0.167740694
"1506","Dasyprocta_prymnolopha","Rodentia","Dasyproctidae","Dasyprocta","prymnolopha",21.62,2900,-0.001990473,0.172421388
"1507","Atherurus_africanus","Rodentia","Hystricidae","Atherurus","africanus",21.89,3152.5,-0.023793474,0.154501451
"1508","Hystrix_sumatrae","Rodentia","Hystricidae","Hystrix","sumatrae",27.04,3260,0.057045473,0.236900013
"1509","Dolichotis_patagonum","Rodentia","Caviidae","Dolichotis","patagonum",30.5,8000,-0.183068355,0.038540752
"1510","Atherurus_macrourus","Rodentia","Hystricidae","Atherurus","macrourus",31.57,2000,0.283455535,0.440585199
"1511","Hystrix_cristata","Rodentia","Hystricidae","Hystrix","cristata",32.4,15000,-0.361576022,-0.110729014
"1512","Hystrix_africaeaustralis","Rodentia","Hystricidae","Hystrix","africaeaustralis",35.71,14936,-0.317938453,-0.067290322
"1513","Hystrix_brachyura","Rodentia","Hystricidae","Hystrix","brachyura",37.64,8000,-0.09171858,0.129890528
"1514","Hystrix_indica","Rodentia","Hystricidae","Hystrix","indica",44.07,14650,-0.220287685,0.029461179
"1515","Castor_fiber","Rodentia","Castoridae","Castor","fiber",44.978,16943.378,-0.258802812,-0.002289383
"1516","Castor_canadensis","Rodentia","Castoridae","Castor","canadensis",52.21,27670,-0.353807598,-0.074481306
"1517","Hydrochoeris_hydrochaeris","Rodentia","Caviidae","Hydrochoeris","hydrochaeris",75,28500,-0.206126892,0.074574079
"1518","Tupaia_javanica","Scandentia","Tupaiidae","Tupaia","javanica",2.3,80,0.194373439,NA
"1519","Tupaia_minor","Scandentia","Tupaiidae","Tupaia","minor",2.58,70,0.28775967,NA
"1520","Tupaia_glis","Scandentia","Tupaiidae","Tupaia","glis",3.2,170,0.092274122,NA
"1521","Urogale_everetti","Scandentia","Tupaiidae","Urogale","everetti",4.28,275,0.061903643,NA
"1522","Dugong_dugon","Sirenia","Dugongidae","Dugong","dugon",264.67,281000,-0.40388639,NA
"1523","Trichechus_manatus","Sirenia","Trichechidae","Trichechus","manatus",364,756000,-0.587854295,NA
"1524","Suncus_etruscus","Soricomorpha","Soricidae","Suncus","etruscus",0.07,2.24,-0.157614167,-0.090854765
"1525","Sorex_hoyi","Soricomorpha","Soricidae","Sorex","hoyi",0.09,3.05,-0.149009488,-0.083157864
"1526","Sorex_ornatus","Soricomorpha","Soricidae","Sorex","ornatus",0.12,5,-0.185074856,-0.120676946
"1527","Cryptotis_parva","Soricomorpha","Soricidae","Cryptotis","parva",0.12,5.3,-0.20405443,-0.139827887
"1528","Sorex_minutus","Soricomorpha","Soricidae","Sorex","minutus",0.13,4.6,-0.123153371,-0.058510237
"1529","Crocidura_fuscomurina","Soricomorpha","Soricidae","Crocidura","fuscomurina",0.13,5.6,-0.187226607,-0.123161993
"1530","Notiosorex_crawfordi","Soricomorpha","Soricidae","Notiosorex","crawfordi",0.15,6,-0.147551324,-0.083689617
"1531","Sorex_cinereus","Soricomorpha","Soricidae","Sorex","cinereus",0.17,3.9,0.047122611,0.112251241
"1532","Sorex_vagrans","Soricomorpha","Soricidae","Sorex","vagrans",0.17,5.3,-0.052786755,0.011439788
"1533","Crocidura_russula","Soricomorpha","Soricidae","Crocidura","russula",0.19,10.45,-0.225614425,-0.163384496
"1534","Sorex_trowbridgii","Soricomorpha","Soricidae","Sorex","trowbridgii",0.21,5.3,0.038983619,0.103210162
"1535","Sorex_fumeus","Soricomorpha","Soricidae","Sorex","fumeus",0.21,8.9,-0.129853537,-0.067151432
"1536","Sorex_monticolus","Soricomorpha","Soricidae","Sorex","monticolus",0.23,6.3,0.022193132,0.085911349
"1537","Sorex_araneus","Soricomorpha","Soricidae","Sorex","araneus",0.23,8.9,-0.090344996,-0.027642891
"1538","Sorex_arcticus","Soricomorpha","Soricidae","Sorex","arcticus",0.27,8.2,0.005973293,0.068916315
"1539","Blarina_brevicauda","Soricomorpha","Soricidae","Blarina","brevicauda",0.29,17.7,-0.213614339,-0.152934194
"1540","Sorex_palustris","Soricomorpha","Soricidae","Sorex","palustris",0.31,11.9,-0.055329724,0.006518065
"1541","Neomys_fodiens","Soricomorpha","Soricidae","Neomys","fodiens",0.31,16.35,-0.158808773,-0.097895301
"1542","Suncus_murinus","Soricomorpha","Soricidae","Suncus","murinus",0.39,35,-0.307020856,-0.248345819
"1543","Surdisorex_polulus","Soricomorpha","Soricidae","Surdisorex","polulus",0.4,18.6,-0.090107252,-0.029572971
"1544","Neurotrichus_gibbsii","Soricomorpha","Talpidae","Neurotrichus","gibbsii",0.91,10,0.469010716,0.531370098
"1545","Condylura_cristata","Soricomorpha","Talpidae","Condylura","cristata",1.37,50,0.122457566,0.18008363
"1546","Talpa_europaea","Soricomorpha","Talpidae","Talpa","europaea",1.4,77.83,-0.012269061,0.04405561
"1547","Scalopus_aquaticus","Soricomorpha","Talpidae","Scalopus","aquaticus",1.48,39.6,0.231955526,0.290267408
"1548","Scapanus_townsendii","Soricomorpha","Talpidae","Scapanus","townsendii",2.02,70,0.181491333,0.238127841
"1549","Galemys_pyrenaicus","Soricomorpha","Talpidae","Galemys","pyrenaicus",1.33,57.5,0.064064841,0.121279869
"1550","Desmana_moschata","Soricomorpha","Talpidae","Desmana","moschata",4,440,-0.12057153,-0.069341357
"1551","Solenodon_paradoxus","Soricomorpha","Solenodontidae","Solenodon","paradoxus",4.67,900,-0.28640916,-0.237283607
"1552","Orycteropus_afer","Tubulidentata","Orycteropodidae","Orycteropus","afer",79.5,44650,-0.327054825,NA
